Unique ID	Name	Color	Pitch	Cost	Power	Defense	Health	Intelligence	Arcane	Types	Traits	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Removed Keywords	Interacts with Keywords	Functional Text	Type Text	Card Played Horizontally	Blitz Legal	CC Legal	Commoner Legal	LL Legal
PMwLzbCCndFwFww6nrzDf	Aether Dart	Blue	3	0		3			1	Wizard, Action								Deal 1 arcane damage to any target.	Wizard Action	False	True	True	True	True
jJchLwfJKhdhk8Hw7R6KP	Aether Flare	Red	1	1		3			3	Wizard, Action								"Deal 3 arcane damage to target opposing hero.

The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus X, where X is the damage dealt by Aether Flare."	Wizard Action	False	True	True	True	True
zgkKwhBtRQf9zWz6kpPJR	Aether Flare	Yellow	2	1		3			2	Wizard, Action								"Deal 2 arcane damage to target opposing hero.

The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus X, where X is the damage dealt by Aether Flare."	Wizard Action	False	True	True	True	True
bbGgprKNzmQPQP9P6CQkL	Aether Flare	Blue	3	1		3			1	Wizard, Action								"Deal 1 arcane damage to target opposing hero.

The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus X, where X is the damage dealt by Aether Flare."	Wizard Action	False	True	True	True	True
QKhbmNTMMfFNmDkp7gcRd	Aether Hail	Red	1	1		3			4	Ice, Wizard, Action								Deal 4 arcane damage to any target.	Ice Wizard Action	False	True	True	True	True
jjrTzdzpWGzMQpFcnfhKN	Aether Hail	Yellow	2	1		3			3	Ice, Wizard, Action								Deal 3 arcane damage to any target.	Ice Wizard Action	False	True	True	True	True
zDTzDhgpDhCNzqqkPMDW7	Aether Hail	Blue	3	1		3			2	Ice, Wizard, Action								Deal 2 arcane damage to any target.	Ice Wizard Action	False	True	True	True	True
jGzKJnCwkjfHhPhRzk7gj	Aether Icevein	Red	1	3		3			5	Elemental, Wizard, Action		Ice Fusion						"**Ice Fusion**

Deal 5 arcane damage to any target. If Aether Icevein was **fused** and deals damage to a hero, they discard a card unless they pay {r}{r}."	Elemental Wizard Action	False	True	True	True	True
DJDqrcJFQNWHPfPjhQNG8	Aether Icevein	Yellow	2	3		3			4	Elemental, Wizard, Action		Ice Fusion						"**Ice Fusion**

Deal 4 arcane damage to any target. If Aether Icevein was **fused** and deals damage to a hero, they discard a card unless they pay {r}{r}."	Elemental Wizard Action	False	True	True	True	True
PRDqBbn6d9cWtWjMjptKj	Aether Icevein	Blue	3	3		3			3	Elemental, Wizard, Action		Ice Fusion						"**Ice Fusion**

Deal 3 arcane damage to any target. If Aether Icevein was **fused** and deals damage to a hero, they discard a card unless they pay {r}{r}."	Elemental Wizard Action	False	True	True	True	True
wd9TtjtPGfbWKQPprJfj9	Aether Ironweave					1				Runeblade, Equipment, Chest		Battleworn	Action	Go again				"**Action** - Destroy Aether Ironweave: Gain {r}{r}. Activate this ability only if you have played an attack action card and a 'non-attack' action card this turn. **Go again**

**Battleworn**"	Runeblade Equipment - Chest	False	True	True	True	True
BrJTbrWqKzQRmRLrfbmcb	Aether Quickening	Red	1	1		3			4	Wizard, Action		Surge, Go again						"Deal 4 arcane damage to target hero.

**Surge** - If this deals more than 4 damage, it gets **go again**."	Wizard Action	False	True	True	True	True
KKRrkTpNjNQB9wmwGCCGF	Aether Quickening	Yellow	2	1		3			3	Wizard, Action		Surge, Go again						"Deal 3 arcane damage to target hero.

**Surge** - If this deals more than 3 damage, it gets **go again**."	Wizard Action	False	True	True	True	True
ntkQpCD8QdNG6KMNchJNw	Aether Quickening	Blue	3	1		3			2	Wizard, Action		Surge, Go again						"Deal 2 arcane damage to target hero.

**Surge** - If this deals more than 2 damage, it gets **go again**."	Wizard Action	False	True	True	True	True
b7h97MzpKF8mNqMr8B9Fq	Aether Sink	Yellow	2	1						Mechanologist, Action, Item			Action, Instant	Go again, Arcane Barrier 2				"Aether Sink enters the arena with a steam counter on it.

**Action** - {r}: If there are no steam counters on Aether Sink, put a steam counter on it. **Go again**

**Instant** - Remove a steam counter from Aether Sink: Aether Sink gains **Arcane Barrier 2** until end of turn."	Mechanologist Action - Item	False	True	True	False	True
CNpTdPFLhRdt6N7qgQqkC	Aether Slash	Red	1	1	4	3			1	Runeblade, Action, Attack								When Aether Slash attacks, if a 'non-attack' action card was pitched to play it, deal 1 arcane damage to any target.	Runeblade Action - Attack	False	True	True	True	True
f6WQfPKfkjbdj9FpC8zDw	Aether Slash	Yellow	2	1	3	3			1	Runeblade, Action, Attack								When Aether Slash attacks, if a 'non-attack' action card was pitched to play it, deal 1 arcane damage to any target.	Runeblade Action - Attack	False	True	True	True	True
PgRT6QwWgcLdGhcNLHfmj	Aether Slash	Blue	3	1	2	3			1	Runeblade, Action, Attack								When Aether Slash attacks, if a 'non-attack' action card was pitched to play it, deal 1 arcane damage to any target.	Runeblade Action - Attack	False	True	True	True	True
hwTCzg9hgmBpj86czpKMq	Aether Spindle	Red	1	2		3			4	Wizard, Action		Opt X						"Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle."	Wizard Action	False	True	True	False	True
7kLCKQ6thffmpJQpLhzzJ	Aether Spindle	Yellow	2	2		3			3	Wizard, Action		Opt X						"Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle."	Wizard Action	False	True	True	False	True
Bd8bgdrphcfzHhTNtbmPr	Aether Spindle	Blue	3	2		3			2	Wizard, Action		Opt X						"Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle."	Wizard Action	False	True	True	False	True
CrWjLrqtQtppQhQCMt9LH	Aether Wildfire	Red	1	2		3			4	Wizard, Action								"Deal 4 arcane damage to target opposing hero.

If Aether Wildfire is played during an opponents turn, until end of turn, action card effects that deal arcane damage instead deal that much arcane damage plus X, where X is the damage dealt by Aether Wildfire."	Wizard Action	False	True	True	False	True
hp6NPdQkGkWhrwpd7JWTF	Aetherize	Blue	3	1						Wizard, Instant		Negate						**Negate** target instant card with cost {r} or less.	Wizard Instant	False	True	True	False	True
hTQgmpCHwLFgQnFbgf6tC	Aetherstorm Wellingtons					0				Wizard, Equipment, Legs		Arcane Barrier 2						**Arcane Barrier 2**	Wizard Equipment - Legs	False	True	True	True	True
7brgFMk9NrkLtzqKrhFFW	Affirm Loyalty	Red	1	0		2				Draconic, Warrior, Attack Reaction								Target dagger attack gets +2{p}. If you control 2 or more Draconic chain links, create a Fealty token.	Draconic Warrior Attack Reaction	False	True	True	False	True
QrQCpQFPnLLPqN8qKgpTp	Aftershock	Red	1	4	8	3				Guardian, Action, Attack								When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.	Guardian Action - Attack	False	True	True	False	True
qjmwqndpkqntDpKCcTcbp	Aftershock	Yellow	2	4	7	3				Guardian, Action, Attack								When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.	Guardian Action - Attack	False	True	True	False	True
Tdqgbj6LhfPt6HzTHTwFK	Aftershock	Blue	3	4	6	3				Guardian, Action, Attack								When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.	Guardian Action - Attack	False	True	True	False	True
k7MhcFckGBzRHjNQ6WhMR	Aggressive Pounce	Red	1	2	6	3				Brute, Action, Attack		Go again					Intimidate	If you've intimidated an opponent this turn, this gets **go again**.	Brute Action - Attack	False	True	True	True	True
zRmqkJcWnz6H9cTjB8DqF	Aggressive Pounce	Yellow	2	2	5	3				Brute, Action, Attack		Go again					Intimidate	If you've intimidated an opponent this turn, this gets **go again**.	Brute Action - Attack	False	True	True	True	True
JCRhKzfTd6pJCpdrwL8rt	Aggressive Pounce	Blue	3	2	4	3				Brute, Action, Attack		Go again					Intimidate	If you've intimidated an opponent this turn, this gets **go again**.	Brute Action - Attack	False	True	True	True	True
tFKpRnDbfcwtC8dwqm9qm	Agile Engagement	Red	1	1		2				Warrior, Attack Reaction								Target Warrior attack gets +3{p}. If it's defended by an attack action card, create an Agility token.	Warrior Attack Reaction	False	True	True	True	True
9czLrcQJTpWrCcJRm8dnz	Agile Engagement	Yellow	2	1		2				Warrior, Attack Reaction								Target Warrior attack gets +2{p}. If it's defended by an attack action card, create an Agility token.	Warrior Attack Reaction	False	True	True	True	True
Mj9fkHtdrzzmDw8RNCKmT	Agile Engagement	Blue	3	1		2				Warrior, Attack Reaction								Target Warrior attack gets +1{p}. If it's defended by an attack action card, create an Agility token.	Warrior Attack Reaction	False	True	True	True	True
Rmm8PgnzKNNfLcnKh86jd	Agile Windup	Red	1	3	7	2				Brute, Warrior, Action, Attack			Instant					**Instant** - Discard this: Create an Agility token.	Brute / Warrior Action - Attack	False	True	True	True	True
rbzdbLWNThgMnfbcpj7zK	Agile Windup	Yellow	2	3	6	2				Brute, Warrior, Action, Attack			Instant					**Instant** - Discard this: Create an Agility token.	Brute / Warrior Action - Attack	False	True	True	True	True
h9jqjKPhPLfwCdgkQ9NBB	Agile Windup	Blue	3	3	5	2				Brute, Warrior, Action, Attack			Instant					**Instant** - Discard this: Create an Agility token.	Brute / Warrior Action - Attack	False	True	True	True	True
WqTTMjDgKKCp7Lnb7LH6d	Agility									Generic, Token, Aura					Go again			At the start of your turn, destroy this, then your next attack this turn gets **go again**.	Generic Token - Aura	False	True	True	True	True
DfHHPcLzbncDMhkJgQKKm	Agility Stance	Yellow	2	0		3				Warrior, Action, Aura		Go again			Go again			"**Go again**

At the start of your turn, destroy this, then your dagger attacks get **go again** this turn."	Warrior Action - Aura	False	True	True	False	True
BcJhMTnwWRcdhGHMCpr8H	Air of a Comeback									Event								You may put a non-attack action card from your graveyard on top of your deck. If you have no cards in hand, instead you may play it this turn from your graveyard without paying its {r} cost.	Event	False	False	False	False	False
nBf66Gt7ghRTqhn7nNqKh	Alluring Inducement	Yellow	2	2	2	2				Shapeshifter, Action, Attack		Shiyana Specialization, Unity						"**Shiyana Specialization**

When this attacks, the defending hero reveals their hand. You may choose an attack action card revealed this way. If you do, this becomes the chosen card.

**Unity** - When this defends together with a card from hand, create an Eloquence token under any number of heroes' control."	Shapeshifter Action - Attack	False	True	True	False	True
DgpbP8LBpCffdNgH8t9LB	Alluvion Constellas					0				Wizard, Equipment, Chest		Arcane Barrier 1	Instant					"The first time Alluvion Constellas prevents arcane damage each turn, if it has less than 4 energy counters, you may put an energy counter on it.

**Instant** - Remove 2 energy counters from Alluvion Constellas: The next staff ability you activate this turn costs {r}{r}{r} less.

**Arcane Barrier 1**"	Wizard Equipment - Chest	False	True	True	False	True
kBJJjzp8KMrRWcwMwKWcW	Alpha Instinct	Blue	3	3	6	0				Brute, Action, Attack	Rhinar Specialization							"**Rhinar Specialization**

When this is discard to beat chest, create a Might token."	Brute Action - Attack	False	True	True	False	True
GgDFFHhLh8Kc7tJK8nBLj	Alpha Rampage	Red	1	3	9	3				Brute, Attack, Action		Rhinar Specialization, Intimidate						"**Rhinar Specialization**

As an additional cost to play Alpha Rampage, discard a random card.

When you attack with Alpha Rampage, **intimidate**."	Brute Action - Attack	False	True	True	False	True
7nk7cnttWTLRfKgLWnWwP	Already Dead	Red	1	2	6	3				Assassin, Action, Attack		Contract						"**Contract** - You are contracted to banish opponents' non-action cards. Whenever you complete this contract, create a Silver token.

When this hits a hero, banish the top card of their deck and a defending card."	Assassin Action - Attack	False	True	True	False	True
rnCGHPJFzCqjPfbkJTKHM	Amethyst Amulet	Blue	3	0						Generic, Action, Item		Legendary, Watery Grave	Instant					"**Instant** - Destroy this: Your next attack this turn gets +2{p}.

**Legend of the Watery Grave**"	Generic Action - Item	False	True	True	False	True
tqL9KdjgkjfnQ98H97dJw	Amethyst Tiara					1				Runeblade, Equipment, Head		Blade Break	Instant		Spellvoid 1			"**Instant** - Destroy Amethyst Tiara: Runechants you control have **spellvoid 1** this turn.

**Blade Break**"	Runeblade Equipment - Head	False	True	True	False	True
87BJMWWHfPLKMqPbtmFHQ	Amnesia	Red	1	2	6	3				Generic, Action, Attack								When this hits a hero, cards and tokens they own lose and can't gain names until the start of your next turn.	Generic Action - Attack	False	True	True	False	True
GFRQBDGRhL9DMtwzKq7CL	Amplify the Arknight	Red	1	3	6	3				Runeblade, Action, Attack								Amplify the Arknight costs {r} less to play for each Runechant you control.	Runeblade Action - Attack	False	True	True	True	True
zdgkJ9mtbmkbQfpzm9Thc	Amplify the Arknight	Yellow	2	3	5	3				Runeblade, Action, Attack								Amplify the Arknight costs {r} less to play for each Runechant you control.	Runeblade Action - Attack	False	True	True	True	True
zmmpt8q8HqPFwPKK66Mjm	Amplify the Arknight	Blue	3	3	4	3				Runeblade, Action, Attack								Amplify the Arknight costs {r} less to play for each Runechant you control.	Runeblade Action - Attack	False	True	True	True	True
qQpfrfHQMP8ND8NjBK6pM	Amplifying Arrow	Yellow	2	0	2	3				Ranger, Action, Arrow, Attack								While Amplifying Arrow is face up in any zone, if it would gain {p}, instead it gains that much plus 1.	Ranger Action - Arrow Attack	False	True	True	False	True
zDfRfgF6fn7WGTKcj67JK	Amulet of Assertiveness	Yellow	2	0						Generic, Action, Item		Go again	Attack Reaction					"**Go again**

**Attack Reaction** - Destroy Amulet of Assertiveness: Target attack gains ""When this hits, banish the top card of your deck. If it's an attack action card, you may play it this turn."" Activate this ability only if you have 4 or more cards in hand."	Generic Action - Item	False	True	True	False	True
8PgrwjDp8NNrz9mDGDP8B	Amulet of Earth	Blue	3	0						Earth, Action, Item		Go again	Instant				Fusion	"**Go again**

**Instant** - Destroy Amulet of Earth: Attack action cards you control gain +1{p} and +1{d} this turn. Activate this ability only if you have Earth **fused** this turn."	Earth Action - Item	False	True	True	True	True
fgWtKprkRGWMhWwkCPJFm	Amulet of Echoes	Blue	3	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy Amulet of Echoes: Target hero discards 2 cards. Activate this ability only if they have played 2 or more cards with the same name this turn."	Generic Action - Item	False	True	True	False	True
77rfcbF6JzTp98njhmLrq	Amulet of Havencall	Blue	3	0						Generic, Action, Item		Go again	Defense Reaction					"**Go again**

**Defense Reaction** - Destroy Amulet of Havencall: Search your deck for a card named Rally the Rearguard, add it to this chain link as a defending card, then shuffle. Activate this ability only if you have no cards in hand."	Generic Action - Item	False	True	True	False	True
t6MkmHjPRNghmMcMQbqch	Amulet of Ice	Blue	3	0						Ice, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy Amulet of Ice: Target hero discards a card unless they pay {r}{r}. Activate this ability only if you have **Ice fused** this turn."	Ice Action - Item	False	True	True	True	True
LPkdwMCjwHHMC6wkHCbRb	Amulet of Ignition	Yellow	2	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy Amulet of Ignition: The next ability you activate this turn costs {r} less. Activate this ability only if you haven't played a card or activated an ability this turn."	Generic Action - Item	False	True	True	False	True
77HjThGWgwMQMqDRNBLMc	Amulet of Intervention	Blue	3	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy Amulet of Intervention: Prevent the next 1 damage that would be dealt to your hero this turn. Activate this ability only while your hero is the target of a source that would deal damage equal to or greater than your hero's {h}."	Generic Action - Item	False	True	True	False	True
fCzgQtjJ9Q8gdrPq9t7Wc	Amulet of Lightning	Blue	3	0						Lightning, Action, Item		Go again	Instant		Go again			"**Go again**

**Instant** - Destroy Amulet of Lightning: Target action card gains **go again**. Activate this ability only if you have Lightning **fused** this turn."	Lightning Action - Item	False	True	True	True	True
rtq8MPBRKQzBpWTWRpj8t	Amulet of Oblation	Blue	3	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy Amulet of Oblation: Until end of turn, target attack action gains ""If this would be put into a graveyard, instead put it on the bottom of its owner's deck."" Activate this ability only if a card has entered a graveyard this turn."	Generic Action - Item	False	True	True	False	True
b8QzFkMC9fKfngpQHwNBK	Anaphylactic Shock	Blue	3	0						Assassin, Instant, Trap								Each opposing hero and ally that has dealt damage to you this turn loses 1{h}.	Assassin Instant - Trap	False	True	True	False	True
qCDqQNmzPzM8DfbRPBqWj	Ancestral Empowerment	Red	1	0		3				Ninja, Attack Reaction								"Target Ninja attack action card gains +1{p}.

Draw a card."	Ninja Attack Reaction	False	True	True	False	True
qdbgkqgpTRMQQPr7jcdQL	Ancestral Harmony	Blue	3	0		3				Ninja, Action		Go again					Combo	"Your attacks with **combo** get +1{p} this turn.

Banish the top card of your deck. If it has **combo**, you may play it this turn.

**Go again**"	Ninja Action	False	True	True	False	True
CFkkCCFjGpQMLrRgFd87W	Angelic Attendant	Yellow	2	0		3				Light, Illusionist, Action		Awaken, Go again						"**Awaken** target figment you control.

Put this into your soul.

**Go again**"	Light Illusionist Action	False	True	True	False	True
bnhnjB7ggkRhpfqQHn6D6	Angelic Descent	Red	1	0						Light, Illusionist, Instant					Go again			"Target attack action card with Herald in its name gets **go again**.

Your next angel attack this turn gets +3{p}."	Light Illusionist Instant	False	True	True	True	True
GNPNfqF7phg8dcbCBRjtC	Angelic Descent	Yellow	2	0						Light, Illusionist, Instant					Go again			"Target attack action card with Herald in its name gets **go again**.

Your next angel attack this turn gets +2{p}."	Light Illusionist Instant	False	True	True	True	True
zr7wdChDbJcWmfrbTFBrw	Angelic Descent	Blue	3	0						Light, Illusionist, Instant					Go again			"Target attack action card with Herald in its name gets **go again**.

Your next angel attack this turn gets +1{p}."	Light Illusionist Instant	False	True	True	True	True
GGDBMFMgCgn9wmWG6jMkq	Angelic Wrath	Red	1	0						Light, Illusionist, Instant								Target attack action card with Herald in its name gets +4{p}	Light Illusionist Instant	False	True	True	True	True
DHLWgwppG9tBkQkBqHBKB	Angelic Wrath	Yellow	2	0						Light, Illusionist, Instant								Target attack action card with Herald in its name gets +3{p}	Light Illusionist Instant	False	True	True	True	True
QDrMdfMCqDCjTpkBQmdJD	Angelic Wrath	Blue	3	0						Light, Illusionist, Instant								Target attack action card with Herald in its name gets +2{p}	Light Illusionist Instant	False	True	True	True	True
kQ6FBdQthJqphzBCzPcB9	Angry Bones	Red	1	2	6	3				Pirate, Necromancer, Action, Attack							Watery Grave	When this attacks, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +1{p}.	Pirate Necromancer Action - Attack	False	True	True	True	True
jGn7mnKcjTLRfgQH9kChJ	Angry Bones	Yellow	2	2	5	3				Pirate, Necromancer, Action, Attack							Watery Grave	When this attacks, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +1{p}.	Pirate Necromancer Action - Attack	False	True	True	True	True
7MCWwM6pBCDcRdFRmTJRC	Angry Bones	Blue	3	2	4	3				Pirate, Necromancer, Action, Attack							Watery Grave	When this attacks, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +1{p}.	Pirate Necromancer Action - Attack	False	True	True	True	True
JjKJRwQPTtgpcCcLrDRwF	Anka, Drag Under	Yellow	2	2	5		3			Pirate, Necromancer, Action, Ally		Watery Grave	Action	Attack			Watery Grave	"**Action** - {r}, {t}: Attack

**Instant** - {t}, discard a card with watery grave: The next time an opponent draws one or more cards this action phase, they discard a card.

**Watery Grave**"	Pirate Necromancer Action - Ally	False	True	True	False	True
9gnHtCMJBbDQjqk8cWmhN	Annals of Sutcliffe									Runeblade, Weapon, Book, 2H								**Once per Turn Action** - {r}{r}{r}: Draw a card. If an attack action card and a 'non-attack' action card were pitched this way, create a Runechant token.	Runeblade Weapon - Book (2H)	False	True	True	True	True
nh8bCzbkjmR6hPkTCFLrz	Annexation of All Things Known	Yellow	2	5	8	3				Guardian, Action, Attack		Crush						**Crush** - When this deals 4 or more damage to a Guardian hero, until the end of your next turn, they can't play face-up cards from arsenal, and you may play face-up cards from their arsenal.	Guardian Action - Attack	False	True	True	False	True
hrRRtK6qNccfpgphQJwMd	Annexation of Grandeur	Yellow	2	5	8	3				Guardian, Action, Attack		Crush						**Crush** - When this deals 4 or more damage to a Guardian hero, gain control of an aura they control.	Guardian Action - Attack	False	True	True	False	True
HnrThKwGrgQMmz69wNbBP	Annexation of the Forge	Yellow	2	5	8	3				Guardian, Action, Attack		Crush						**Crush** - When this deals 4 or more damage to a Guardian hero, equip an equipment they have equipped.	Guardian Action - Attack	False	True	True	False	True
qJfJ7wBLmBtGnBpqQttNK	Annihilate the Armed	Red	1	1	5	3				Assassin, Action, Attack		Contract						"**Contract** - You are contracted to banish opponents' attack action cards. Whenever you complete this contract, create a Silver token.

When this hits a hero, banish the top card of their deck."	Assassin Action - Attack	False	True	True	True	True
b97gffj66hdGBhpkTQQQt	Annihilate the Armed	Yellow	2	1	4	3				Assassin, Action, Attack		Contract						"**Contract** - You are contracted to banish opponents' attack action cards. Whenever you complete this contract, create a Silver token.

When this hits a hero, banish the top card of their deck."	Assassin Action - Attack	False	True	True	True	True
7FckgndNDJwgBMfzFRQ86	Annihilate the Armed	Blue	3	1	3	3				Assassin, Action, Attack		Contract						"**Contract** - You are contracted to banish opponents' attack action cards. Whenever you complete this contract, create a Silver token.

When this hits a hero, banish the top card of their deck."	Assassin Action - Attack	False	True	True	True	True
7ncNDLjkpLkn9MmfKqfKM	Annihilator Engine	Red	1	6	6	3				Mechanologist, Action, Attack		Overpower						"If you have 1 or more Evos equipped, this gets ""When this hits a hero, destroy all cards defending this,""

- 2 or more, this costs {r}{r}{r} less to play,
- 3 or more, this gets **overpower**,
- 4 or more, this gets +3{p}."	Mechanologist Action - Attack	False	True	True	False	True
